match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872313	2.0	6.0	5.0	8.0	23.0	9.0	3.0	6.0	1.0	0.0	8.0	12.0	17.0	6.0	3.0	0.0	3.0	0.0
2872311	1.0	3.0	6.0	3.0	10.0	11.0	4.0	7.0	10.0	1.0	8.0	15.0	5.0	5.0	1.0	0.0	0.0	0.0
2872307	2.0	9.0	6.0	5.0	10.0	11.0	1.0	9.0	3.0	0.0	4.0	12.0	7.0	3.0	1.0	0.0	1.0	0.0
2872323	4.0	4.0	1.0	1.0	12.0	14.0	2.0	4.0	4.0	2.0	8.0	16.0	10.0	2.0	4.0	0.0	2.0	0.0
2872321	2.0	5.0	3.0	3.0	12.0	12.0	2.0	4.0	4.0	2.0	6.0	14.0	10.0	2.0	2.0	0.0	2.0	0.0
2872315	7.0	8.0	0.0	4.0	17.0	7.0	0.0	1.0	3.0	5.0	4.0	7.0	12.0	5.0	0.0	0.0	0.0	0.0
2872318	1.0	2.0	4.0	5.0	16.0	10.0	1.0	4.0	5.0	1.0	4.0	10.0	12.0	4.0	2.0	0.0	1.0	0.0
2872317	2.0	5.0	4.0	7.0	12.0	16.0	4.0	4.0	6.0	2.0	8.0	20.0	10.0	2.0	5.0	0.0	4.0	0.0
2872320	3.0	5.0	3.0	10.0	15.0	12.0	1.0	3.0	4.0	3.0	7.0	13.0	13.0	2.0	2.0	0.0	4.0	0.0
2872319	6.0	6.0	1.0	7.0	6.0	5.0	5.0	1.0	1.0	4.0	1.0	10.0	3.0	3.0	3.0	0.0	2.0	0.0
2872316	12.0	7.0	1.0	7.0	10.0	4.0	3.0	1.0	0.0	7.0	0.0	7.0	8.0	2.0	1.0	0.0	1.0	0.0
2872324	3.0	3.0	4.0	5.0	11.0	15.0	0.0	5.0	4.0	2.0	6.0	15.0	9.0	2.0	3.0	0.0	3.0	0.0
2872326	6.0	3.0	7.0	5.0	9.0	10.0	2.0	8.0	4.0	4.0	12.0	12.0	9.0	0.0	2.0	0.0	1.0	0.0
2872329	5.0	4.0	1.0	4.0	6.0	5.0	4.0	1.0	3.0	2.0	1.0	9.0	5.0	1.0	1.0	0.0	1.0	0.0
2872327	4.0	5.0	3.0	3.0	14.0	4.0	1.0	5.0	7.0	3.0	9.0	5.0	12.0	2.0	0.0	0.0	0.0	0.0
2872322	8.0	9.0	0.0	7.0	11.0	11.0	3.0	1.0	2.0	7.0	1.0	14.0	8.0	3.0	0.0	0.0	2.0	0.0
