match_id	home_total_shots	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
2486592	5	3	7	14	13	4	3	2	0	17	13	1	2	2
2486591	3	4	5	10	11	0	7	2	5	11	9	1	0	3
2486593	4	2	11	21	8	3	4	2	5	11	15	6	3	2
2486596	3	6	2	10	13	0	6	3	8	13	10	0	3	2
2486597	2	2	8	14	12	3	5	2	6	15	14	0	1	3
2486598	5	3	3	9	15	2	4	3	4	17	5	4	5	1
2486594	4	3	4	12	6	0	4	3	6	6	11	1	0	2
2486600	3	3	2	14	13	2	4	2	5	15	13	1	2	2
2486595	3	1	6	18	8	3	1	3	2	11	16	2	3	3
2486601	3	0	7	17	11	0	4	2	4	11	12	5	3	2
2486603	7	0	9	12	7	5	0	5	2	12	12	0	2	2
2486602	4	3	3	13	8	1	4	2	2	9	13	0	2	4
2486605	4	5	7	20	11	0	5	5	3	11	17	3	2	1
2486604	4	2	8	17	16	3	3	4	2	19	15	2	2	2
2486599	8	1	9	15	7	2	1	7	4	9	14	1	0	2
2486607	5	0	6	12	9	1	1	4	4	10	12	0	1	1
2486606	8	2	1	12	9	3	3	5	6	12	10	2	1	1
2486608	3	0	2	10	9	1	4	2	0	10	9	1	1	1
2486613	3	7	1	9	8	1	9	1	10	9	6	3	3	3
2486611	3	1	5	16	14	0	1	3	7	14	15	1	1	3
2486610	1	1	3	16	8	2	1	0	2	10	15	1	1	1
2486614	5	7	3	14	11	2	4	4	11	13	12	2	2	1
2486616	6	0	3	15	15	1	5	2	9	16	13	2	3	3
2486617	3	4	2	14	11	1	5	3	12	12	10	4	1	0
2486618	7	1	7	19	11	3	3	3	4	14	18	1	0	3
2486612	4	2	11	13	8	2	2	3	7	10	11	2	3	3
2486609	7	2	5	16	9	6	5	3	5	15	15	1	4	6
2486615	4	0	5	9	13	3	2	3	1	16	8	1	2	1
2486621	3	0	5	13	11	0	0	1	4	11	13	0	3	6
2486622	3	1	9	11	12	0	2	2	8	12	11	0	2	0
2486620	3	3	2	12	14	2	3	3	4	16	10	2	1	3
